text_id,annotator_id,joy,trust,anticipation,surprise,fear,sadness,disgust,anger,valence,arousal
2915,13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2835,13,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2941,13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0
2976,13,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0
2856,13,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,-1.0,2.0
2903,13,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2909,13,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2843,13,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
2930,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-2.0,2.0
2962,13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-1.0,1.0
2809,13,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0
2887,13,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2983,13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2979,13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2981,13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2928,13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-1.0,2.0
2907,13,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2854,13,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-1.0,2.0
2963,13,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-1.0,2.0
2870,13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,-1.0,1.0
2993,13,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2871,13,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-1.0,2.0
2801,13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-1.0,3.0
2840,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0
2890,13,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2863,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0
2844,13,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,2.0
2874,13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-1.0,1.0
2803,13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2920,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.0
2884,13,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
2960,13,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2886,13,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0
2926,13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2804,13,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-2.0,3.0
2898,13,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2985,13,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2908,13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2967,13,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,-2.0,1.0
2943,13,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2880,13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-2.0,3.0
2927,13,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-1.0,1.0
2975,13,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2946,13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2867,13,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2964,13,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
2815,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,2.0
2929,13,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0,1.0
2861,13,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2895,13,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
